actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
184.16587829589844,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,42.377723693847656
0.0,42.89643478393555
0.0,43.39519500732422
0.0,43.83000946044922
0.0,44.203338623046875
0.0,44.6070671081543
0.0,44.99527359008789
0.0,45.36854553222656
0.0,45.90650939941406
0.0,46.42378616333008
0.0,46.921165466308594
184.16580200195312,47.354652404785156
187.57603454589844,47.950523376464844
0.0,48.56822967529297
0.0,49.07265853881836
0.0,49.51292419433594
0.0,49.8914909362793
0.0,50.300262451171875
0.0,50.738075256347656
0.0,51.1590461730957
0.0,51.519065856933594
0.0,51.820472717285156
0.0,52.155052185058594
0.0,52.43199920654297
0.0,52.65353012084961
0.0,52.86654281616211
0.0,53.07136154174805
0.0,53.178775787353516
0.0,53.237300872802734
0.0,53.248809814453125
0.0,53.215110778808594
0.0,53.182708740234375
0.0,53.0620231628418
0.0,52.85646057128906
0.0,52.61404037475586
0.0,52.336177825927734
0.0,52.113765716552734
0.0,51.81038284301758
0.0,51.47390365600586
0.0,51.1056022644043
0.0,50.70670700073242
0.0,50.32315444946289
0.0,49.90959167480469
0.0,49.511932373046875
0.0,49.12957000732422
0.0,48.80667495727539
0.0,48.49620056152344
0.0,48.15290451049805
0.0,47.86757278442383
0.0,47.637977600097656
0.0,47.417213439941406
0.0,47.20494079589844
0.0,46.95606994628906
0.0,46.6720085144043
0.0,46.39887237548828
0.0,46.1362419128418
0.0,45.838951110839844
0.0,45.55309295654297
0.0,45.278228759765625
0.0,44.96916961669922
0.0,44.58247375488281
0.0,44.165889739990234
0.0,43.765323638916016
0.0,43.33540725708008
0.0,42.877262115478516
0.0,42.48149871826172
0.0,42.10095977783203
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
